text,safety,cleanliness
"Although the gas station is not big, the service staff is very attentive. The weather is okay today. Go and add gas to help you get it. The tip is up to you, haha",None,None
Great place to bring your dog or go for a jog. There's even a skate park.,None,None
"This is an absolute MUST! You get a great view of the city and you get to go into a piece of America. The thing to know is buy crown tickets ONLINE! So many people were turned down for not having the correct ticket. PRE BOOK everything to save yourself the headache. The climbing to the crown is VERY narrow I am 5'10 and I had a very tough time climbing. I was almost too tall to climb. The view is amazing especially on a clear day! We were lucky enough to have a day just like that. The meuseum is great too! Overall, if you want to do something that most New Yorkers don't even do, then do the statue of liberty!",None,Positive
Not much excitement in the escape room,Negative,Negative
To actually see her in person surpasses all online or printed images. She's majestic and located in a spot with beautiful views.,Positive,Positive
"Rude staff, didn't know if they carried kerosene...",Negative,Negative
Nice place for people of all ages.,Positive,Positive
Love this park.. Love the Most The Jazz Band of RASHEED and His Band... Keep playing...,None,None
It was awesome I landed all my tricks and got footy.,None,None
"It was beautiful, clean and peaceful.",Positive,Positive
Great repurposing of historical real estate,None,None
"Great service, nice staff, no waiting when I dropped off my car and they were there in minutes when I landed. Can't say enough good things!",Positive,Positive
Guy overcharged me 5$ on my card today. Be aware when using your card here.,Negative,Negative
Took my boys plus one of their friends and they had a blast. Totally recommend it also on Wednesday the arcade games are half off,Positive,Positive
"Great place to sit, bbq,",Positive,Positive
"Kids would love Jane’s Carousel located in the Brooklyn Bridge Park, a beautiful merry-go-round with a view that’s worth its admission price. This carousel has been around since 1922 and a piece of beautiful craftsmanship. The view itself is dizzying, with a panoramic view of both the Brooklyn Bridge and the Manhattan Bridge and Manhattan skyline in the horizon. One of my favourite spots in New York.",None,None
Easy to get in and out of.,None,None
I have used bolt a few times they are a good deal for the area and reliable. Shuttles are quick back and forth. Reception is polite and nice.,Positive,Positive
Not a clean park seems that they don't rake leaves clean the grass or have dog poop bag stations,Negative,Negative
"These guys have always been square with me and their work has held up. It took a few years to find a place that didn't try to screw me, but it seems like I finally have. In terms of gas prices they're about average for the neighborhood. The location is great because you can jump right into the tunnel.",None,None
I like the place to walk the family,Positive,Positive
Always use this station for gas and any problem i have with my cars i take them there. Best customer service ever!!! Manager is super nice. All the employees are super friendly and knowledgeable. Thank you for such a great service.,Positive,Positive
"The seller doesn't accept the pennies! When I purchased a pack of cigarette ($11.25), I gave him $11 in bills & $0.25 in nickles & pennies. He refused to take small coins, he told me to pay him only in bills & some quaters. He said the small coins are not money. And I start arguing with him, then he cursed me and told me do not come back again to my store or if you come do not bring small coins here. This is ridiculous how they run the bisuness like that. They have got very poor customer service, bery agree, no behaviour and no attitude. The manager of the company MUST hire the workers and teach or train employees how to talk with customers. The Department of Consumer Affairs must check this gas station!",Negative,Negative
Amazing park with even more amazing and interesting park goers. Very communal feel in comparison to say central park.,None,None
Fast & friendly in and out,None,None
Great small park to stroll through.,Positive,Positive
Nice place always clean and friendly staff,Positive,Positive
"If you want to feel the crucible in New York, here. A lot of people gather to insist on something. In summer, you can sit here and crush for a few hours.",None,None
The statue of liberty is a must when visiting New York... we took a boat across and the view of the cityscape behind us was one of the best we had on our visit. The actual lady herself is very impressive although I was a little disappointed to learn that you can’t go up to the very top anymore. Still worth a visit though!,None,None
Price is ridiculous high for no reason,None,None
"the audio tour is amazing. bring earphones, a good camera, and a good friend.",None,None
"Lovely sit and chill vibe near supreme court, Brooklyn's main post office and Borough Hall station.",Positive,Positive
Have everything I needed great Thank you!!,Positive,Positive
Favorite park. Most lively park.,Positive,Positive
Fine gas station with good service,Positive,Positive
Vary nice place to sit and relax,Positive,Positive
"A beautiful park, good atmosphere, relaxing, (I think not suitable for children,) only adults I have seen there.",None,None
My favorite place in New York.,None,None
Nice place to relax on a warm day.,None,None
This farmer Market is a great place to visit on Saturday on 124th Street at Mt. Morris Park on the outside of Marcus Garvey Park. Check out all vendors every Saturday thru November from 9:30-4:30pm.,None,None
Reasonably popular so expect a little bit of a crush. Worth a return journey for the views over the river. Just don't expect too much from Roosevelt Island... It was literally a building site when we visited.,Negative,Negative
I dread coming to this mobile but it's the closest one to my neighborhood they never have receipts in their machines at the self-service when you ask the gentleman at the register he has an attitude and tells you to go to the next one or don't bother to come back,Negative,Negative
"Real deal rollercoaster. Forget the modern crap, this is the real deal.",None,None
Dirty restroom most of the time.,Negative,Negative
"I arrived late for my flight and they were jammed but got me ""in and out"" to the airport! They offer a great service and fair prices!",None,None
Small and quiet good place to walk your pets,Positive,Positive
"The attendant is always cordial, helpful.",Positive,Positive
Very nasty didnt let me use the bathroom lied an said it was out of order place should be shut down,Negative,Negative
Nice place to shop or eat or just walk around,Positive,Positive
I live right across from it nice lovely meet new people every day,None,None
"Great tennis courts, not so busy as Manhattan.",None,Positive
"My home away from home,!!!",Positive,Positive
"You'll find a dog run, workout equipment, tennis courts, skate park, basketball courts, and lots of earnest men playing volleyball. Not as many trees as McGolrick, smaller than McCarren, but has its own ""edge of industrial"" vibe.",None,None
I had a 4 hour braclet and I loved it,None,None
I loved going here but to expensive for three kids 75 dollars wish the prices weren't so high.,None,None
The best park I've seen.so peaceful and beautiful .clean as well,Positive,Positive
It was right on the Hudson river. Near the GWB,None,None
Muddy field. Construction in the middle.,Negative,Negative
I went this Wednesday at speedway gas station to get my drink n there was amazing staff name Gerald n he was super super AMAZING n great. He gave me this drink which I wanted from sooo long. Gerald is as always helpful he also gave me idea how to save on gas by enrolling for speedway rewards n I get good points n even he talks very nicely n he has great customer services thank u Gerald for ur all help.,None,None
"My first time that I approach the tramway a very good experience I recommend it to my friends. The price is what you pay in the Subway with a subway card is parallel to the Queens Borough Bridge ... a very nice view, I recommend parking in private parking lots and I pay $ 21.00 for 10 hours compared to down town is cheap. My wife and my daughters were very excited about this very good experience. We went to Roosevelt Island, a very good place, also very close to the water because of the kind of emotions I give 5 stars here I leave some photos. Have a good trip and enjoy it.",Positive,Positive
Pretty cool but very cold!,None,None
I really like walking through this park to get from Washington Heights to the Bronx.,None,None
"Friendly service, good, timely repairs when needef.",Positive,Positive
Getting to the Statue of Liberty took some time as queues for this attraction can get long. She is beautiful to behold come rain or shine. Worth the visit.,None,Positive
Friendly service pretty good coffee.,None,None
"I have been to this workshop a few times in the last year to get NY safety inspections done and to get some minor work done on my trucks. The owners are usually at the office and have been super helpful, friendly and fair. No attitude and doing good work for the money. I recommend them for any of your vehicle maintenance needs. Their gas prices are a bit below the nearest gas station. The premises seem.clean and well maintained.",Positive,Positive
It's a nice place to spend a stress-free day I think I recommend it,Positive,Positive
Beautiful flowers and a dog run!,None,None
"Great history, growing attractions, safety, cleaninless and a ferry stop!",Positive,Positive
The rides are so much more... FUN,None,None
"Great for families with smaller children although some of the rides needcsome improvements/repairs. It's a bit pricey so I would expect the rides tobe in top condition however bells on the boats and other rides were missing pull strings, electronic horns on motorcycle ride did not work, chipping flaking paint on some rides",Negative,Negative
"Thank God they finally built this place! Parking lot can be a little tough, but you can use the restroom, gas up, grab a coffee or a burger , maybe a burrito, or even a so-so slice ( it's not great, but it's edible) , even get your car washed ( again, not great, but you can get the heavy dirt off). Look, the place is convenient. Wendy's is good though.",Positive,Negative
The staff are real rip off always ask for a receipt when u do cash on your gas # so they won't rip you off smh,Negative,Negative
I found a good manager doing an excellent job with his knowledge of cars repair and not to pricey,None,None
It was cool to see a landmark of America but I would not say it was worse the trip. Very expensive food and all you see is the statue. if you are interested in touching or being closed in the statue it is a good experience.,None,None
THIS STATION AT CERTAIN PUMPS THE RECIEPT MACHINE DOES NOT WORK,Negative,Negative
I mean it was great.....tho it's just a regular tramp place it was really fun but that's no help to others so try it out,None,None
Don't ever take your car there,Negative,Negative
Greatbplace to go stretch out and for pets,None,None
Too small not many options. ramp sometimes not cleaned and you can fall if raining or snowing.,Negative,Negative
Up close Lady Liberty is an amazing wonder to behold,None,None
Coney island is actually Luna park I had a blast I can't wait to go bk an do even more fun things. There is so much to do if you haven't been then you need to go.,None,None
"Good place to relax,unwind and breathe fresh air",Positive,Positive
friendly gas station. your convenience save the day.,Positive,Positive
"Old ""slow"" pump's ""Not that it's pumps slow, the software from the pumps seams to be from the early 19'st"" Here you have some examples: -Takes forever to proses a payment, -Some of the screams are half blank... .... I'm a happy BP costumer in I'll tell you 1/2 mile up @ Union corner Broadway you got a BP that the prices are $.20 lower and machines are faster and more up-to-date and 2 miles up you have A new updated station Wish you all to have a good experience with BP and don't get down on the ones that are outdated....",Negative,Negative
Just amazing coffee and super deal on Nathan's hot dogs,None,None
"Great public space. Full of history. I wish it were better kept, and that they reopen the visitor center.",Negative,Negative
"The place is comfortable, gas is cheap",None,None
Reasonable price. Also has a car wash for convenience.,Positive,Positive
"A familiar and fresh place, excellent viewpoint of the bridge",Positive,Positive
Love buying gas at mobile. These guys always have the lowest prices on gas.,None,None
"Very beautiful scenery, lakes and mountains, swans, wild ducks, children's park, basketball courts, tennis courts, and football fields. When the weather is fine, many people come to exercise, walk, fish, and play golf. It is a very good place for leisure sports and entertainment.",None,None
The gas station is a good gas station has a lot of things I wish they would clean their bathroom a lot better it stinks I wouldn't take a number two or three in it just pee all over the walls keep it moving that's how bad the bathroom is they need to clean it they can pay me to clean it how to a good job,Negative,Negative
There's so many things to do here and it's even better with friends but it's expensive and that's okay because it's essentially a giant mall next to a mall with one of the best micro centers there,None,None
Just amazing. That's all I got to say about that.,None,None
Love when the market is in full action in the spring time!,None,None
Industry City has something for everyone!,None,None
"Great place to run, play ball, or just relax!!",None,None
"Very disappointing experience, definitely not worth the $29. I went with my friend because as advertised we would have the chance to play and interact with dogs, but in reality we saw only 5 dogs total that came with their owners. We were expecting many dogs but we were let in in small groups and only allowed to stay for 30-40mins (which in reality was way less because there weren’t enough dogs) so we basically only got the chance to interact with the group’s dogs, and we moved along the different rooms that were basically empty otherwise. You would expect Sunday would be a busy day but it wasn’t. Definitely oversold in the website as the puppy land. Maybe the dogs had a great time but not the humans, especially those who went to the event without a dog. Would have been better if you arranged the time slots better so there are more dogs at all times and also bring dogs that are up for adoption so dogs and humans can play with them and not depend on the event attendance (or make it a day pass so at least you see all the dogs that come in that day since apparently are not that many). I wish the advertisement was more accurate so that people know what to expect from the event.",Negative,Negative
"On a quiet street, a beautiful promenade, pleasant to sit, great view of Manhattan, everything is new green, clean ... On the way there we wandered through the neighborhood, graffiti, charming corners of cafes. There are hotels that can be observed, follow the site about the hours, we did not know and did not succeed.",Positive,Positive
"Went to get gas the pump wasn't taking card ,went to the cashier to pay with my card my card declined .I then pay $30.00 in cash .on Monday check my account to my surprise a purchase of $30.00 from shell gas station pending on my account.please be aware .check account.they are a bunch of fraud.calling my bank to put a fraud dispute on them.",Negative,Negative
"It's hard to call a park - a square rather than a park, but we'll take a piece of greenery in the city center. Interesting facts: gas, symbolic lanterns, good views of the City Hall, exhibitions.",None,None
"Great place for kids to hang out and play. But they also have several options for adults as well. It's safe, clean and worth it.",Positive,Positive
"I get to New York trying to see the statue but i get their too late so i dont go on the ferry. My family decided to find a spot to see it clearly and good news, we found one but bad news, we found one where we are staring at her butt. It was a nice view though",None,None
"Super to share with the family, and eat roast beef in the summer..soker and ball play, people play their own music, different Hispanic nationalities.",None,None
"After a little dig in the rules (the same as at the airport), you embark on the ferry which takes you in about twenty minutes on the island of the statue (pretzels and coffee (very very very hot) sold on the ferry are pretty good, and not very expensive). Once arrived on the island, you go up the pontoon ... Take a free Audioguide, and start your ride around the old lady.",None,None
"Scenic view, long coastline, clean beaches, good for strolling",Positive,Positive
"I went there to get my state inspection. They said it would be about half an hour but it was a lot less than that. They told me some things that could be improved about my car in the future without trying to sell me anything. As I just got my 120,000 mile check up at another place a month ago, what they told me was accurate. My car was certainly in good enough shape to pass the state inspection. The service manager is not the friendliest person in the world, but he wasn't rude either. He was strictly business. I came there for the service not for the friendliness and I got good service.",Positive,None
Had my grandsons 3rd birthday here,None,None
Lovely while bt Manhattan n the bronx,Positive,Positive
Love this park. Note if you I have a dog can be unleash from 9pm to 8am,Positive,Positive
"Fast, efficient but with a lazy attitude.",None,Negative
Diversity it had variety stores n nearby trsansportation n had a slower suburban life pace except crazy traffic on Highland n Atlantic ave,None,None
"Beautiful, breath taking! Eat before you go because the Crown Cafe food is kinda gross.",Positive,Negative
This is a great place for the kiddies. It's one of the better kept secrets on Staten Island,Positive,Positive
"If you plan to go into regulation, you must book many months in advance, at least for the high tourist season. I did it many times, although last time our team was only able to get tickets for the pedestal, even though we booked a few weeks in advance. Even then, it was a great ride, especially when combined with a trip to the nearby Ellis Island, the handling hub for immigrants from Europe.",None,None
A quiet place good to get away from the hustle and bustle of the city and linger away in NYC's history,Positive,Positive
There simply rude people without personality.,Negative,Negative
2nd time I've used Bolt in the last 2 months and it is perfectly average. The convenience/cost savings of driving yourself to and from the airport is worth the price here. Points off for slow service. I understand its tough to shuttle so many people back and forth but I have no patience - especially when I'm trying to catch a flight. Ended up calling an Uber to drive to LGA (cost around $11) and took a yellow cab back when we returned. This adds to the overall price of the service but if you're in no rush or get there early the shuttle is a viable option.,None,None
"Before this park was very beautiful, now it is very neglected, fallen trees, aggressive squirrels, I hope it will be like before.",Negative,Negative
Always empty and gas prices are reasonable.,None,None
Nice park in front of Brooklyn Bridge in front of City Hall.,None,None
Nice little park in the Konkrete Jungle,Positive,Positive
"Ok, although it is very expensive",None,None
"They're working on Beach erosion by bringing in big rocks, rebuilding the jetties. Trump 2020. Found out that the large rocks are coming from quarries from New Jersey. Ten or more truck loads Monday thru Friday.",None,None
Good gas station. Prices usually lower than most,Positive,Positive
"Perfect for the 6 and under set. Lots of rides for little kids. And the wonder wheel! Also, check out the halloween area in fall. It's SCARY!",Positive,Positive
'murica! It was a good time. The statue is awesome!,None,None
Hello guys with ALL TRAVEL & TOUR NY I have the opportunity to see many beautiful places in NYC,None,None
so many new places in this town happy to see this here. wasnt always kid friendly but the town needed this 1. but a lil over priced,None,None
"Again, this place continues to deliver! I came to check and fix a problem with steering oil pump. The manager told me that it can be fixed for less than I expected but he suggested that for now just to add some oil and continue monitoring it. So if you like a place where people don't take advantage of you, and don't change for diagnosis and overcharge for fixing, come to this place.",Positive,Positive
Great prices and nice people. Shuttles are clean. Will use again.,Positive,Positive
First escape room game and was able to escape with time to spare. The staff were really helpful in providing clues and even took a picture of us at the end holding up our score and texted us the picture within 20 minutes. Definitely will be coming back!,Positive,Positive
"We brought our car in, handed over the keys, signed a paper and were on a shuttle to the airport in less than 10 minutes! Very easy and fast service. When we got back, we weren't quite sure what terminal we were in but they were able to find out based on our airline. They picked us up shortly after we got out with our luggage. Our car was waiting for us when we got back to the parking spot. Easy as pie and great service!",Positive,Positive
This great park for my wife dog.,None,None
It was a nice visit,None,None
Great food and outdoor space,None,None
"Amazing place to have a walk, enjoyable",Positive,Positive
The Farm is such a great place to bring your kids. There are so many new features that I have noticed since the last time I visited.,None,None
"One of Manhattan's Best Parks — esp. when it comes to Gatherings/Events: from Live Music, Rap & Beat-Box Competitions, to Protests & Activism Gatherings (it's where usually the Largest Gatherings for 'May Day' - a.k.a. 'Global Workers Day' - in NYC occurs, etc...) and is a WONDERFUL Place to find Independent Vendors (from Used Books; Artwork; Political Pins/Buttons, Magnets, Sickers, T-Shirts, etc...; Comics; Records - as in Old-School Vinyl; and MUCH More!) IMHO, when it comes to Manhattan's Parks — South of 'Central Park,' — Union Square Park is Second only to Washington Square Park, when it comes to it's 'Vibes,' & for 'People Watching;' Surpassing Washington Square Park only when it comes to the Vendors, and for Activism/Advocacy/Protest Gatherings!",None,None
Could there be such a cozy and secluded place in the middle of the most crowded city center?,None,None
"I don’t think this arcade should schedule middle schools here anymore because today most of the kids in my elementary school was beaten up and disrespected. It was the kids in the orange shirts tho. The kids from the middle school pushed kids off the ladder in the ball pit,they started cursing towards the little kids,they also skipped people on line for lazer tag. They kept swinging those swinging balls towards my head. I only gave this a 3 star because the arcade was very entertaining. The middle schoolers should be punished for doing these types of stuff to elementary school students.",Negative,Negative
A beautiful park that leads to trails all across the island. Taken some fun hikes here. They have a aweaome archery range as well!,None,None
very convenient to reach Roosevelt Island / very nice view of Manhattan / cheap / a quick trip to relax without much walking,Positive,Positive
I wish this farm stand was open all year!,None,None
"Great park, has a Sunday Farmers market, small and big dog park.",Positive,Positive
Went to get my food which was pricey and the lady kept talking not giving my food. She gave it 5 mins later.,Negative,Negative
Park has different sections for different ages including a nice basketball court. Everybody is friendly and looks out for each other. Beautiful landscaping job. Really amazing renovations over the past few years.,Positive,Positive
Immaculate clean and safe here...very sombre and sad to see Rose's against people who would of had a birthday today...,Positive,Negative
I just saw this park from across the street. There were dogs playing there. they looked like they were having fun.,None,None
No complaints. I pay with cash and the devise is really good.,Positive,Positive
Beautiful to bring up kids,Positive,Positive
Great time visiting Lady Liberty. We planned ahead and climbed up into the crown. I would highly recommend that experience!,None,None
Great hotel with a superb Staff. Will stay here again.,Positive,Positive
It's fantastic for those travelers like myself who love nostalgia and historic places around the world. Just a short ferry ride away from the Liberty State Park in Jersey City and right across the water from Manhattan.,None,None
This is a picture of my son. He was very disappointed,None,None
"Adults have to pay just to stand with younger children, never encountered this with any of the other NYC carousels.",Negative,Negative
Gas was very high. Lots of needy folks want to pump gas n wash your windows for money. Hope to never go back there.,Negative,Negative
Great store with excellent service and great selection. Staff are very helpful. Free parking with a person helping you park.,Positive,Positive
"If you go for a ride on Coney Island beach, you can't miss the iconic funfair. The view from the ferris wheel is very beautiful. While you're at it, eat a hot dog at Nathan's famous.",None,None
A must see while visiting New York.,None,None
Awesome u got to try it,None,None
I was there twice once in 1986 and then I went there again in 1996 both of the times that I went were in the summer in 1986 me and my mom and my brother went there in August not long after the restoration of the statue was completely done and after they had celebrated the 100th birthday of the statue and then in 1996 10 years later me and my family went back to liberty island and visited the statue of liberty again I enjoyed the experience both of the times I was there both of the times that I was there were two of the best and loveliest times of my life,None,None
Panoramic view of the island adjacent to Manhattan. Cable car trip worth taking,None,None
I visited this park since I was a kid. It has progressed tremendously,Positive,Positive
Good experience from above good photos of the excellent river are taken to go with the family,None,None
"I don't want this urban retreat to become an excessively tourist attraction. Nevertheless, it can be a beautiful place on earth. Please don't spoil it for the neighbors who are rather welcoming if understandably cautious. Bring your good selves, you'll want to return.",None,None
Love the place they have running and bike trail,None,None
Such a sad place to visit,Negative,Negative
Awesome place to relax and be with nature,Positive,Positive
Had a small birthday party there and the place and view were GREAT!!!!!,None,None
"Great service! Nice people. Our flight was cancelled and they picked us up at LaGuardia , had our truck waiting AND didn't charge for the day. Will use again. Thank you made a really bad day a bit better.",Positive,Positive
Very solemn place Americans don't forget what they did to us,Negative,Negative
You back to the tragedy of the 11s and can not avoid shedding a lagru.a and raise a prayer for the fallen that morning.,None,None
"Easy, on time, our car was warmed up when we got back. Drivers and attendants were friendly and helpful",Positive,Positive
"Even though it is no longer the same since occupy wall st days, they have little events here and a market almost everyday. I like getting up to get a organic and vegan scone and some hot apple cider. They also these nice ladies that sell a delicious yogurt drink I have before I go to the gym.",None,Positive
"Forces you to have a fuel price limit even on credit cards. I use credit cards so I get my money's worth of gas, not the last $2 worth of trickles.",Negative,Negative
Just filling up the car with gas,None,None
Great place to spend with the family or on a date night.,None,None
Be prepared for lots of visitors. Beautiful island with amazing views.,None,None
"Took my boyfriend to see the island for the first time ever. Was beautiful and amazing as always, can't wait to see the museum when it finally opens.",None,None
"These guys are theives. They charge 66% over average gas price in Manhattan (on 5/5 it is $3, while they charge $5 per gallon) . Never go here!",Negative,Negative
A lifetime must see. Learn and experience the international partnerships and friendships that shaped the modern world,None,None
fazbear's pizzeria when was built there but it was destroyed,None,None
Grew up ine the area they definitely cleaned it up,Positive,Positive
Looks like someone opened a gas station outside a crack house,Negative,Negative
"I get the mini detail here about twice a month, they do a pretty good job",Positive,Positive
"Nicw place, quiet walk during the day",Positive,Positive
Its parks like this one that make the city liveable,Positive,Positive
"My car had an issue as soon as I pulled into the station, but we were parallel parked blocking 2 angled parking spots. My mother and I were trying to figure out what was wrong with the car and the owner insisted on moving the car out of the way. We weren't blocking anyone coming into the station, or preventing anyone from getting out of a spot. The only good thing I can say is he and 2 other men helped push the car to the far end of the gas station to an isolated corner so we could wait for assistance. I just found his demeanor to be pushy and rude to 2 women who were having car trouble, as if we were a complete burden.",Negative,Negative
Great square in the city center to eat your lunch or buy homemade products in the local market,Positive,Positive
Wonderful place it just smelled weird.,Negative,Negative
Amazing work out with my baby J Pita,None,None
"Very nice park in general , it's a must see and must skate in park haha",Positive,Positive
"Beautiful park. Many activities to choose from, or just take a leisurely walk and admire the beauty!",Positive,Positive
"A must-see at least once in your life. The new museum is nicely done with a short film and Lady Liberty artifacts, including the original light. Go to the roof of the museum for great views of the back of the statue, as well as lower Manhattan. Ranger tours are available.",None,None
It was a rainy day during my visit though i had realy a fun day and such an interesting lady in Green the statue of liberty she is beautiful.,None,None
"Expensive parking, numerous shops, very busy. The New Manhattan.",None,None
Beautiful atmosphere. Never too crowded. Great view of Washington bridge. Excellent place to be during sunset.,None,None
An amazing day out and the ferry is free,None,None
Great place to start the NYC marathon. NYPD helicopter fly by and cannon fire start. Amazing!,None,None
"I take my hound dogs here for long walks. It's a beautiful place where you can hike, visit an art gallery or go to the beach!",Positive,Positive
Lovely place for family fun,Positive,Positive
Large and small dog park. Mulched. Gets muddy when it rains and the fences are broken.,Negative,Negative
"Really like this has station because same price for gas credit and cash. Good toilet, and nice Bolla store where you can find all you need.",Positive,Positive
Nice place to relax and eat,Positive,Positive
Friendly people. Good place to get a gas.,None,None
Kind of hard to get into. But it's pretty good.,None,Positive
One of the best places in NYC,Positive,Positive
"It is a very beautiful site, quite unlike the city life of New York. It is a really quiet place where you can literally feel the nature and meditate. I believe every New Yorker and visitor to this city should at least once come down to this place.",None,None
YSK that the elevator queue is long and there is a long flight to the top so be prepared,None,None
It's a gas station. Is what is stated,None,None
"Horrible experience with their mechanics. They wound up messing up my radio, now I'm stuck whistling to myself in traffic. Extremely expensive and unqualified workers",Negative,Negative
"The most moving, inspired, soothing., and beautiful piece of public art I have ever experienced, without question. And it truly is an experience; you are drawn into the memorial after reading the first person accounts of the famine that are carved into the outer wall of the structure, setting the scene and providing basic information about this tragedy for the uninitiated. As you pass through the door and onto the path, you're lead to an evocation of a typical Irish stone cottage using materials that would have been in use at that time. The cottage is set up in a simple, bare environment, which cleanses your senses and allows you to leave the world behind (no small feat., given that this monument exists in a particularly beautiful spot by the water in lower Manhattan where the Statue of Liberty is visible in the distance). You follow the path and reach a spot where you have to turn but are unable to see what folliws, and when you make the turn.....you are immediately transported into the middke of an Irish meadow, with the indigenous long grasses and wildflowers and stones of Ireland and the reveal is so breathtaking, it moved me to tears. It was so overwhelming that at first I didn't notice I was back in the open air and New York had returned to the experience, but looking up at the magnificent skyscrapers from this peaceful, graceful meadow somehow transformed them into part of the natural environment and made them less oppressive. Seeing the water from inside the meadow helped with the illusion, as did the design of the public park area in which the memorial resides. Another outstanding and unexpected aspect to this wonderful Memorial is that as you make your way through the meadow you realize you will have an outstanding view of the Freedom Tower which is a few blocks away. The stones you see along the pathway are are inscribed with the names of the various counties in Ireland, and each of the stones came from the county that bears its name. When you reach the top of the meadow and turn around and look down at the whole expanse of the monument below you it's hard not to feel that your journey has affected you very deeply; this must be what is meant when they say there is a balm in Gilead. This quickly has become my favorite spot in all of Manhattan.",None,Positive
"This a locally owned and run station. Only two pumps here but there is never a wait and both are full service. You will pay more for it by the gallon but it is nice to stay in your car when it is bad weather. They have a garage too. I use this place to do maintenance on our cars- brakes, flats, etc. Their labor/parts prices are fair and they don't try to add on. Their work is dependable and all the staff are very nice. I'm really happy to have a place to drop my car off and go to work and pick it afterwards so I don't burn a weekend day doing the same. BTW, they donate funds to a local school every year.",Positive,Positive
Great honest mechanics! Fast and fair pricing,Positive,Positive
It was hard to enter,Negative,Negative
I use to hang out there when I was a kid back in 1950 but maybe a little older I went to the school across the street p.s.64 it's such a pleasant park I played a lot of sports there even when they first put the pool in their and still enjoy going there.,Positive,Positive
"Good park , good for family",Positive,Positive
"Not the cheapest but you get what you pay for sometimes, they never ever sell you what you dont need. I recommend.",None,None
lies on the route with the Big Bus,None,None
"I grew up in this park and I must say, how far it came. Very nice.",Positive,Positive
Friendly customer service very clean place well organized merchandise any size coffee only 0.99 cents,Positive,Positive
"Really well made. The riddles were fun, different levels of difficulty, requires some team work but each member can also work on their own. VALERY is the best! I'd recommend the Ultimate Heist for begginers. Memorable experience :)",None,None
Its a great place 2 do things with family,Positive,Positive
"I was blown away by the sheer scale of the place. It was an amazing time. The picture crews were nice. The gift shop had a 1,000 dollar statue miniature. Overall, a great place!",None,None
Just pump it. Car wash sucks here. Go to a real car wash instead.,Negative,Negative
Come and see the kids play some football,None,None
Wouldn't accept Gas Buddy for discount.,Negative,Negative
Pulled into in the Self service pump and the Full service attendant was so nice! The pumps are new and the attendant asked if i need assistance even though I wasn't in Full Service area. Plus it was one of the cleanest Station I've been in.,Positive,Positive
The playground renovation took FOREVER but it was worth it!!! There's something for every kid to enjoy!! Just remember to bring bug spray - the mosquitoes are abundant!,Positive,Positive
"Park in which the New York City Hall is located. It is one of the urban parks that New York City offers. It is located very close to the Brooklyn Bridge. The park offers nothing exceptional, except that it is beautiful and the buildings that surround it are also, but it has nothing special. We saw it with snow and at sunset. If you pass through the area it is a good idea to stop 5 minutes to visit it.",None,Positive
"Design, fun, food and entertainment",None,None
They made an effort this time to make it look beautiful. This park is in the heart of Corona it should be well taken care but most of the time is full of people who is drinking liquor and sleeping on the benches its impossible to go there with the kids and enjoy this wonderful spot. I put the 4 stars because at this time of the year it looks dreamy with the Christmas decorations.,Negative,Negative
"Great place for a walk, a bbq, and a sunset picnic.",None,None
Expensive if you go there with toddler. Should buy the ticket for parent just to keep your child safe,Positive,Negative
"Great place to visit, relax, & shop.",Positive,Positive
Great service and excellent price. Highly recommend!,None,None
"Dream come true! Breath taking views on the boat tour, I would highly recommend a visit. I NYC",None,None
If you like taking pictures of Central Park this is a perfect stop.,None,None
"Beautiful, the museum is impressive, with all the details. You feel one more American being there. His pain is yours.",None,None
"The park was very clean, spacious, with a lot of options to BBQ, relax and take a great stroll. The fact that there is a parking area helps as well.",Positive,Positive
"I don't come to Luna Park too often, so when I do the improvements are obvious. I've been going to Coney island since I was a kid. While there was a certain charm to seeing the derelict remnants of old Coney Island, this really is so much better. The staff is pleasant, even on the hottest days. They are helpful to answer any questions and even seem that they enjoy being there. Maybe they understand that one day they can tell their kids with pride, that they worked at Coney Island. The place is actually clean. You can tell it's still a work in progress, but it's intriguing to keep coming back to see the improvements. Even the patrons are pleasant. I'm not sure about Friday and Saturday nights, but everybody around me seemed to be in a good mood. The prices for the rides were a little high to go there too often, but it's not bad for an occasional trip through history.",Positive,Positive
Nice place. Food place on the island is also very good.,None,None
"Gas is cheap, they hve an attendant on hand,but need to establish an entrance & exit. They share t hgt e lot with a Taxi/Uber and there is ccx akways traffic in & out not very large for the two)",None,Negative
Great place for the family.,Positive,Positive
If you need gas it's good. If you need repairs go someplace else. They will tell you one thing is wrong and fix something that doesn't even need to be repaired and they will never get back to you about something major that needs to be repaired. It's all about making money with them forget safety and if you're a woman the service is even worse!,Negative,Negative
Entire family enjoyed the trip. There is a new exhibition with innovative styles of exhibition. Dont miss it if you go to the island.,None,None
"Beautiful, after traveling the wonderful bridge that connects Manhattan with Brooklyn, you get to that place so nice and quiet!",Positive,Positive
"So many New Yorkers haven't visited it!!! Whhhhhyyyyy, just go there!!!!",None,None
What else can you ask in one store get from coffee hot food drinks and much more,None,None
"It truly is an interesting place. In the midst of doing college tours, my friends and I would stop here for lunch every once and awhile. So far, we've participated in a semi-voluntary prayer circle, been serenaded by a park wanderer, and watched countless battles of roaches and rats fighting to the death. However, it's a great place to sit and enjoy the happenings of the city regardless of the weather.",Negative,Negative
